text,label
My senior punched me in the face,physical_assault
A boy hit me with a stick,physical_assault
They kicked me during a fight,physical_assault
Someone beat me up behind the hostel,physical_assault
A group attacked me and I got injured,physical_assault
He slapped me hard across the face,physical_assault
They threw me against the wall,physical_assault
Multiple people assaulted me in the bathroom,physical_assault
A teacher pushed me and I fell,physical_assault
My senior punched my stomach repeatedly,physical_assault
Someone attacked me with an iron rod,physical_assault
They beat me with a cricket bat,physical_assault
A gang of students beat me up,physical_assault
I got physically hurt by a senior,physical_assault
Someone threw me down the stairs,physical_assault
A person hit me with a water bottle,physical_assault
I was beaten up by multiple attackers,physical_assault
My hostel senior kicked me repeatedly,physical_assault
Someone struck me with a shoe,physical_assault
A teacher physically abused me,physical_assault
They punched me during an argument,physical_assault
I got struck with a wooden plank,physical_assault
My arm was twisted violently,physical_assault
Someone choked me during a fight,physical_assault
A senior broke my phone and hit me,physical_assault
A senior touched me inappropriately without consent,sexual_assault
Someone forced me into a private room and touched me,sexual_assault
I was raped by someone at a party,sexual_assault
A teacher touched me sexually,sexual_assault
Someone tried to remove my clothes forcefully,sexual_assault
I was sexually assaulted by multiple people,sexual_assault
A senior coerced me into sexual activity,sexual_assault
Someone grabbed me inappropriately in the hostel,sexual_assault
I was sexually abused by a family friend,sexual_assault
A stranger tried to rape me,sexual_assault
Someone penetrated me against my will,sexual_assault
I was sexually harassed and then assaulted,sexual_assault
A person forced me to perform sexual acts,sexual_assault
I was molested by someone I trusted,sexual_assault
Someone forced me into a non-consensual sexual situation,sexual_assault
My professor keeps making sexual comments to me,sexual_harassment
A colleague touches me inappropriately on the shoulder,sexual_harassment
Someone sends me unwanted sexual messages,sexual_harassment
I get asked inappropriate sexual questions constantly,sexual_harassment
A senior makes sexual jokes about me in public,sexual_harassment
Someone stares at me in a sexual way,sexual_harassment
A teacher calls me for extra classes with sexual innuendo,sexual_harassment
My hostel warden makes sexual comments about my body,sexual_harassment
A person keeps trying to hug me inappropriately,sexual_harassment
Someone asks me to do sexual favors for grades,sexual_harassment
A colleague makes explicit comments about me,sexual_harassment
Someone keeps trying to kiss me without permission,sexual_harassment
A person asks for intimate photos,sexual_harassment
Someone sends me explicit videos unsolicited,sexual_harassment
My senior asks me out with sexual undertones,sexual_harassment
A person makes comments about my body constantly,sexual_harassment
Someone tries to grab me inappropriately,sexual_harassment
A friend keeps trying to kiss me despite saying no,sexual_harassment
Someone sends me unwanted romantic proposals,sexual_harassment
A teacher makes inappropriate eye contact and comments,sexual_harassment
My professor said Dalits are naturally inferior,caste_discrimination
A senior called me an untouchable as abuse,caste_discrimination
They do not let me sit with them because of my caste,caste_discrimination
I was denied admission because of my caste,caste_discrimination
A teacher made casteist jokes about my surname,caste_discrimination
Someone said I do not deserve to be in this college,caste_discrimination
A hostel roommate refused to touch things I used,caste_discrimination
My classmates avoid me because I am from a lower caste,caste_discrimination
A senior said people of my caste are servants,caste_discrimination
I was excluded from a group because of my caste,caste_discrimination
Someone called me by a casteist slur repeatedly,caste_discrimination
A professor gave me lower marks because of my caste,caste_discrimination
My colleagues refuse to eat with me due to caste,caste_discrimination
A person said my family is impure because of caste,caste_discrimination
Someone made degrading comments about my caste,caste_discrimination
I was told not to touch the water can because of my caste,caste_discrimination
A person said I am too dirty because of my caste,caste_discrimination
My roommate refuses to share utensils with me,caste_discrimination
A senior excluded me from activities due to my caste,caste_discrimination
Someone said casteist remarks about my occupation,caste_discrimination
People discriminate against me because I am from Northeast,racism
A teacher made racist jokes about my region,racism
Someone called me a foreigner and kicked me out,racism
My classmates do not include me because of my race,racism
A person said all people from my region are terrorists,racism
I was denied entry to a club because of my appearance,racism
Someone said my accent makes me inferior,racism
A senior called me by a racist slur,racism
People assume I am poor because of my ethnicity,racism
Someone made racist comments about my skin color,racism
I was targeted for being from a tribal community,racism
A teacher made demeaning comments about my region,racism
Someone said I do not belong in India,racism
A person excluded me for being from Northeast India,racism
My colleagues made stereotypical jokes about my region,racism
Someone refused to sit with me due to my race,racism
A person said my community is backward,racism
I was bullied for having a regional accent,racism
Someone made comments about my facial features,racism
A senior said people from my region are uneducated,racism
A professor made derogatory comments about my religion,religious_discrimination
I was forced to participate in religious practices not my own,religious_discrimination
A roommate refused to share space with me due to my religion,religious_discrimination
Someone said people of my faith are terrorists,religious_discrimination
I was denied hostel accommodation because of my religion,religious_discrimination
A teacher prevented me from leaving class for prayer,religious_discrimination
Someone tried to force-feed me non-halal meat,religious_discrimination
My classmates excluded me from events due to my religion,religious_discrimination
A person said my religious beliefs are wrong,religious_discrimination
I was prevented from wearing my religious attire,religious_discrimination
A senior made fun of my religious practices,religious_discrimination
Someone threatened me for my religious beliefs,religious_discrimination
I was told to convert to another religion,religious_discrimination
A person vandalized my religious symbols,religious_discrimination
A teacher discriminated against me in grades due to religion,religious_discrimination
Someone said my religion promotes violence,religious_discrimination
I was excluded from meals because of my religion,religious_discrimination
A senior made derogatory comments about my faith,religious_discrimination
Someone forced me to remove my religious jewelry,religious_discrimination
A person said I do not deserve respect due to my religion,religious_discrimination
A professor said girls are naturally bad at technical subjects,gender_discrimination
I am given lower grade than boys for the same work,gender_discrimination
A teacher told me women should not pursue engineering,gender_discrimination
My family will not let me out because I am a woman,gender_discrimination
A colleague said women are too emotional for leadership,gender_discrimination
I am denied opportunities because I am male and stereotyped,gender_discrimination
A person said I should focus on cooking instead of studies,gender_discrimination
Someone told me to act more feminine or masculine,gender_discrimination
A teacher assigns less important projects to girls,gender_discrimination
A person assumes I am weak because of my gender,gender_discrimination
I am paid less than colleagues for the same work,gender_discrimination
A senior said women should not be out late,gender_discrimination
Someone questioned my capability because of my gender,gender_discrimination
A professor called on girls less in class,gender_discrimination
I was told I am too pretty to be taken seriously,gender_discrimination
A person made assumptions about my abilities due to gender,gender_discrimination
I face different rules than opposite gender,gender_discrimination
Someone said my gender makes me unsuitable for the job,gender_discrimination
A teacher gives better grades to boys,gender_discrimination
A person underestimated me based on gender,gender_discrimination
My seniors forced me to do humiliating dares,ragging
I was made to crawl and do push-ups as punishment,ragging
Seniors humiliated me in front of the entire batch,ragging
I was forced to perform degrading acts by seniors,ragging
A senior made me sing dirty songs in public,ragging
I was pressured to drink beyond my limits,ragging
Seniors locked me in a room and abused me,ragging
I was forced to reveal my secrets publicly,ragging
A senior made me do push-ups at 2 AM,ragging
I was thrown water balloons and abused verbally,ragging
Seniors forced me to dance like they ordered,ragging
I was made to do degrading physical exercises,ragging
A senior forced me to call him with abusive names,ragging
I was publicly shamed by a group of seniors,ragging
Seniors forced me to perform humiliating tasks,ragging
I was forced to beg for money from juniors,ragging
A senior made me pledge to follow ridiculous rules,ragging
I was forced to stay awake all night,ragging
Seniors made me do their assignments,ragging
I was threatened with worse treatment if I complained,ragging
Someone threatened to kill me if I report them,threats
A person said they will destroy my family,threats
I received death threats on social media,threats
Someone threatened to rape me if I tell anyone,threats
A person said they know where I live and will harm me,threats
I got threatened with exposure if I do not comply,threats
Someone threatened to throw acid on me,threats
A person threatened to post my intimate photos,threats
I was threatened with dire consequences,threats
A person said they will hurt my family members,threats
Someone threatened to break my bones,threats
I received anonymous threats on my phone,threats
A person threatened to implicate me in a false case,threats
Someone threatened to ruin my career,threats
I was threatened with suspension if I report,threats
A person threatened to harm my friends,threats
Someone threatened me with violence repeatedly,threats
I received threats of self-harm implications,threats
A person threatened to publicize my secrets,threats
Someone threatened to follow me home,threats
A person follows me everywhere I go,stalking
Someone constantly watches me from a distance,stalking
A person waits for me outside my hostel daily,stalking
I keep seeing the same person near my class,stalking
Someone follows me even when I change routes,stalking
A person obsessively tracks my social media,stalking
I am being followed to my home repeatedly,stalking
A person watches me through my hostel window,stalking
Someone stalks me every time I go out,stalking
A person follows me even to isolated places,stalking
I keep finding the same person wherever I go,stalking
Someone constantly monitors my movements,stalking
A person knows my daily schedule and appears,stalking
I am being followed by someone in a car,stalking
A person obsessively takes photos of me,stalking
Someone follows me despite multiple complaints,stalking
I see the same person every time I leave hostel,stalking
A person waits for me at recurring locations,stalking
Someone follows me persistently for months,stalking
A person appears whenever I am alone,stalking
Someone sends me abusive messages on WhatsApp daily,cyber_harassment
I am getting harassed through repeated emails,cyber_harassment
A person keeps messaging me with insults,cyber_harassment
Someone sends me threatening messages online,cyber_harassment
I am being harassed through Instagram DMs,cyber_harassment
A person keeps calling me with abusive language,cyber_harassment
I receive hate messages from multiple accounts,cyber_harassment
Someone keeps tagging me in abusive posts,cyber_harassment
I am getting harassed through Telegram,cyber_harassment
A person sends me harassing messages at odd hours,cyber_harassment
I receive repeated threats through SMS,cyber_harassment
Someone keeps commenting abusive things on my posts,cyber_harassment
I am being harassed through anonymous accounts,cyber_harassment
