text,label
My college is illegally holding my original certificates,complaint
I am forced to sign an illegal bond against my will,complaint
The college will not give me my TC even after graduation,complaint
They are forcing me to sign an undertaking to stay quiet,complaint
The college is illegally blocking my migration certificate,complaint
I am forced to pay extra fees for my documents,complaint
The college will not release my degree certificate,complaint
They are threatening me with certificate blocking,complaint
The college is violating my right to education,complaint
I cannot transfer because they will not issue my TC,complaint
The college forced me to sign illegal terms,complaint
They are making illegal financial demands,complaint
The administration is violating my document rights,complaint
I am blocked from leaving because of illegal bonds,complaint
The college is illegally holding my academic records,complaint
They are forcing impossible conditions for my certificate,complaint
The college is unlawfully restricting my freedom,complaint
I cannot pursue higher education due to illegal blockade,complaint
The administration is making extortion-like demands,complaint
They are violating my constitutional right to freedom,complaint
My college is illegally holding my original certificates (This is happening to me regularly),complaint
I am forced to sign an illegal bond against my will (This is happening to me regularly),complaint
The college will not give me my TC even after graduation (This is happening to me regularly),complaint
They are forcing me to sign an undertaking to stay quiet (This is happening to me regularly),complaint
The college is illegally blocking my migration certificate (This is happening to me regularly),complaint
I am forced to pay extra fees for my documents (This is happening to me regularly),complaint
The college will not release my degree certificate (This is happening to me regularly),complaint
They are threatening me with certificate blocking (This is happening to me regularly),complaint
The college is violating my right to education (This is happening to me regularly),complaint
I cannot transfer because they will not issue my TC (This is happening to me regularly),complaint
The college forced me to sign illegal terms (This is happening to me regularly),complaint
They are making illegal financial demands (This is happening to me regularly),complaint
The administration is violating my document rights (This is happening to me regularly),complaint
I am blocked from leaving because of illegal bonds (This is happening to me regularly),complaint
The college is illegally holding my academic records (This is happening to me regularly),complaint
They are forcing impossible conditions for my certificate (This is happening to me regularly),complaint
The college is unlawfully restricting my freedom (This is happening to me regularly),complaint
I cannot pursue higher education due to illegal blockade (This is happening to me regularly),complaint
The administration is making extortion-like demands (This is happening to me regularly),complaint
They are violating my constitutional right to freedom (This is happening to me regularly),complaint
College violated my rights,complaint
Administrative procedures are unfair,complaint
I faced unfair administrative action,complaint
Administrative negligence occurred,complaint
I was unfairly suspended,complaint
Administrative staff discriminated against me,complaint
Incorrect administrative action was taken,complaint
I was denied my administrative rights,complaint
The college refuses to return my original 10th and 12th marksheets after I dropped out,complaint
The university is withholding my degree certificate because I protested fee hikes,complaint
They are demanding a heavy penalty to issue my transfer certificate,complaint
The administration cancelled my hall ticket right before exams without explanation,complaint
The college refused to process my scholarship funds and kept the money,complaint
Management is forcing students to pay an unapproved building development fee,complaint
The university refused to grant me admission despite clearing the merit list,complaint
The principal confiscated my laptop and documents without any disciplinary hearing,complaint
The administration refused to give me my migration certificate for higher studies,complaint
The college changed grading criteria retroactively after exams were completed,complaint
They are forcing us to sign an illegal arbitration agreement waiving our legal rights,complaint
Management suspended me without issuing a show-cause notice or fair hearing,complaint
The institute refuses to refund my security caution deposit even after clearance,complaint
They blocked my semester exam registration because of non-academic disputes,complaint
The college is functioning without mandatory statutory affiliation and cheated us,complaint
college withheld my tc,complaint
the institute is withholding my transfer certificate,complaint
college refused to return my original certificates and tc,complaint
the administration withheld my migration certificate illegally,complaint
college authorities withheld my degree certificate,complaint
Someone demands money or they will expose my secrets,complaint
A person threatens to hurt me if I do not pay,complaint
I am being blackmailed with intimate photos,complaint
Someone demands money threatening to tell my family,complaint
A person extorts money with threats of violence,complaint
Someone blackmails me with academic information,complaint
I am forced to pay money to stop harassment,complaint
A person demands money with threats of exposure,complaint
Someone extorts money threatening legal complaints,complaint
I am being blackmailed with false accusations,complaint
A person demands money or they will harm my family,complaint
Someone blackmails me with my past mistakes,complaint
I am forced to pay to avoid physical harm,complaint
A person demands money threatening my career,complaint
Someone extorts money with threats to my reputation,complaint
I am blackmailed with workplace information,complaint
A person demands money threatening social exposure,complaint
Someone extorts money threatening to contact police,complaint
I am forced to pay to avoid false accusations,complaint
A person blackmails me with recorded conversations,complaint
Someone demands money or they will expose my secrets (This is happening to me regularly),complaint
A person threatens to hurt me if I do not pay (This is happening to me regularly),complaint
I am being blackmailed with intimate photos (This is happening to me regularly),complaint
Someone demands money threatening to tell my family (This is happening to me regularly),complaint
A person extorts money with threats of violence (This is happening to me regularly),complaint
Someone blackmails me with academic information (This is happening to me regularly),complaint
I am forced to pay money to stop harassment (This is happening to me regularly),complaint
A person demands money with threats of exposure (This is happening to me regularly),complaint
Someone extorts money threatening legal complaints (This is happening to me regularly),complaint
I am being blackmailed with false accusations (This is happening to me regularly),complaint
A person demands money or they will harm my family (This is happening to me regularly),complaint
Someone blackmails me with my past mistakes (This is happening to me regularly),complaint
I am forced to pay to avoid physical harm (This is happening to me regularly),complaint
A person demands money threatening my career (This is happening to me regularly),complaint
Someone extorts money with threats to my reputation (This is happening to me regularly),complaint
I am blackmailed with workplace information (This is happening to me regularly),complaint
A person demands money threatening social exposure (This is happening to me regularly),complaint
Someone extorts money threatening to contact police (This is happening to me regularly),complaint
I am forced to pay to avoid false accusations (This is happening to me regularly),complaint
A person blackmails me with recorded conversations (This is happening to me regularly),complaint
My uncle is blackmailing me,complaint
Someone is extorting money from me,complaint
I'm being blackmailed with intimate photos,complaint
Someone is blackmailing me,complaint
I am being extorted for money,complaint
Someone blackmails me with intimate photos,complaint
Someone is demanding money and threatening me,complaint
I am blackmailed and threatened,complaint
Someone extorts money from me threateningly,complaint
I am blackmailed with evidence of something,complaint
Someone blackmails me to keep secrets,complaint
I am being blackmailed and cannot go to police,complaint
Someone threatens to share private photos if I don't pay,complaint
someone is blackmailing me with photos,complaint
I'm being blackmailed with photos,complaint
someone blackmails me with pictures,complaint
they are blackmailing me with images,complaint
someone threatens to share photos unless I pay,complaint
I'm forced to pay or they'll share my photos,complaint
someone is extorting money from me with photos,complaint
Someone used AI to make naked pictures of me and is demanding 50000 rupees,complaint
A loan app is calling my entire contact list threatening to release morphed photos,complaint
A person hacked my webcam and says they will send video to my family unless I pay,complaint
They are demanding Bitcoin or they will leak my private personal diary and photos,complaint
Someone is threatening to destroy my business reputation unless I pay protection money,complaint
A stranger recorded our private video call and is now blackmailing me for money,complaint
They threatened to send compromising pictures to my employer if I don't give them cash,complaint
Someone got hold of my medical records and is extorting money to keep them secret,complaint
An ex-partner is demanding money and threatening to share private intimacy videos,complaint
Someone is threatening to frame me in a false police case unless I transfer money,complaint
They threatened to ruin my marriage with fake leaked chats unless I pay them,complaint
Online blackmailers are demanding gift cards and threatening to leak my personal data,complaint
my ex blackmails me with my private photos,complaint
my ex blackmails me with my private photos for money,complaint
she is threatening me that she would leak my chats if i dont pay her,complaint
