text,label
"Someone keeps threatening me on WhatsApp",threats
"He is threatening to harm me if I complain",threats
"My senior is forcing me to do humiliating things",ragging
"I am scared because seniors are mentally torturing me",ragging
"I was touched inappropriately in college",sexual_harassment
"He passed vulgar comments on me in class",sexual_harassment
"I am being stalked online repeatedly",cyber_harassment
"Someone created a fake account to harass me",cyber_harassment
"I was beaten near the hostel",physical_assault
"He hit me badly during an argument",physical_assault
"He keeps abusing me verbally in front of others",verbal_abuse
"I am being insulted repeatedly using bad words",verbal_abuse
"I received anonymous threat calls at night",threats
"Someone is threatening to leak my photos",threats
"He warned me not to go to police",threats
"I am getting threat messages repeatedly",threats
"My seniors are forcing me to clean their rooms",ragging
"Seniors made me stand outside hostel as punishment",ragging
"I am being humiliated by seniors daily",ragging
"Someone is sending obscene messages on Instagram",cyber_harassment
"I am being harassed through fake social media accounts",cyber_harassment
"Someone hacked my account and is abusing me",cyber_harassment
"I was beaten by a group of students",physical_assault
"I was attacked physically near the hostel",physical_assault
"Someone hit me badly during a fight",physical_assault
"I was assaulted by a group on campus",physical_assault
"They punched and kicked me repeatedly",physical_assault
"I suffered injuries after being beaten",physical_assault
"I was attacked at night near college gate",physical_assault
"He used physical force against me",physical_assault
"I was physically assaulted by seniors",physical_assault
"I was beaten and injured badly",physical_assault
"Someone is harassing me through fake Instagram accounts",cyber_harassment
"I am being abused using fake social media profiles",cyber_harassment
"Someone created fake accounts to harass me online",cyber_harassment
"I am receiving harassment messages on Instagram",cyber_harassment
"Someone is stalking me on social media platforms",cyber_harassment
"I am being harassed through WhatsApp messages",cyber_harassment
"Someone is sending threatening DMs online",cyber_harassment
"I am getting abusive messages through fake accounts",cyber_harassment
"My senior is humiliating me in college",ragging
"My seniors force me to do embarrassing tasks",ragging
"I am being tortured by seniors in hostel",ragging
My seniors are forcing me to do embarrassing tasks,ragging
My seniors are forcing me to do embarrassing tasks,verbal_abuse
Seniors made me clean their rooms forcefully,ragging
Seniors made me clean their rooms forcefully,verbal_abuse
I am being humiliated by seniors daily,ragging
I am being humiliated by seniors daily,verbal_abuse
My senior shouted at me in front of others,ragging
My senior shouted at me in front of others,verbal_abuse
Seniors are mentally torturing juniors,ragging
Seniors are mentally torturing juniors,verbal_abuse
I am scared of my seniors in hostel,ragging
My seniors force me to follow their orders,ragging
My senior threatened me during ragging,ragging
My senior threatened me during ragging,threats
My seniors slapped me for refusing,ragging
My seniors slapped me for refusing,physical_assault

Someone is threatening to kill me,threats
I received threat messages late at night,threats
Someone warned me not to complain,threats
I am getting repeated threat calls,threats
Someone is threatening my family,threats
He said he will harm me if I speak,threats
I received anonymous threat calls,threats
Someone is intimidating me constantly,threats
I was threatened using messages,threats
Someone threatened me on WhatsApp,threats
Someone threatened me on WhatsApp,cyber_harassment
Someone threatened me on WhatsApp,verbal_abuse

Someone is harassing me through fake Instagram accounts,cyber_harassment
Someone created fake profiles to harass me,cyber_harassment
I am receiving abusive messages online,cyber_harassment
Someone is stalking me on social media,cyber_harassment
I am being harassed through WhatsApp messages,cyber_harassment
Someone hacked my account and abused me,cyber_harassment
I am getting threatening DMs online,cyber_harassment
Someone is spreading hate messages online,cyber_harassment
